CODIGO_ADUANA,NOMBRE_ADUANA,TIPO_ADUANA,,,,
PQ,PUERTO QUETZAL,M,,,,
EF,EL FLORIDO,T,,,,
ST,SANTO TOMAS DE CASTILLA,M,,,,
SC,SAN CRISTOBAL,T,,,,
CA,CENTRAL DE AVIACION,A,,,,
EA,EXPRESS AEREO,A,,,,
CG,CENTRAL DE GUATEMALA,T,,,,
FP,FARDOS POSTALES,T,,,,
VH,VEHICULOS,T,,,,
PA,PEDRO DE ALVARADO,T,,,,
VN,VALLE NUEVO,T,,,,
LM,LA MESILLA,T,,,,
EC,EL CARMEN,T,,,,
TU,TECUN UMAN,T,,,,
MM,MELCHOR DE MENCOS,T,,,,
PB,PUERTO BARRIOS,M,,,,
AC,AGUA CALIENTE,T,,,,
LE,LA ERMITA ,T,,,,
AL,ADUANA DE LABORATORIO,T,,,,
CE,COURIER (EXPRESS AEREO),A,,,,
Z1,ZONA FRANCA PARA PRUEBAS,T,,,,
ZZ,Zona Franca Parque Industrial Zeta La Union,T,,,,
ZC,Zona Franca Cropa,T,,,,
ZP,Zona Franca Procter y Gamble    Escuintla,T,,,,
ZM,Zona Franca Omega       Tecun Uman S. Marcos,T,,,,
ZN,Zona Franca El Naranjo  Mixco,T,,,,
ZK,Zona Franca El Cacao    Puerto Barrios,T,,,,
ZO,Zona Libre de Comercio e Industria (Zolic),T,,,,
ZF,ZONA FRANCA ZOFRACRO*    CIUDAD GUATEMALA,T,,,,
ZG,Zona Franca Zofracsa*   Ciudad Guatemala,T,,,,
ZH,Zona Franca Pelicano,T,,,,
ZJ,Zona Franca RDC Escuintla,T,,,,
ZI,Region Libre Internacional,T,,,,
ZE,Zona Franca Centro Industrial para la Exportacion,T,,,,
OA,Orzunil 1,T,,,,
OB,Genor Puerto Barrios,T,,,,
OC,Ginsa Ciudad Guatemala,T,,,,
OD,Laprofa Ciudad Guatemala,T,,,,
OE,Bearcom,T,,,,
OF,Distribuidora Fotografica,T,,,,
OG,Atunera Santyago Izabal (Area Zolic),T,,,,
OH,Atunera Maya Izabal (Area Zolic),T,,,,
OT,Atento de Guatemala,T,,,,
OP,PROBECA,T,,,,
OM,Homemart,T,,,,
GM,GBM,T,,,,
IM,Industrias Monterrey,T,,,,
FC,Fogel de Centroamerica,T,,,,
ZU,Zona Franca ZOFRATUSA,T,,,,
CF,Calzado Fino,T,,,,
RF,REFCO COMERCIAL,T,,,,
OI,ACS BPS DE GUATEMALA,T,,,,
OJ,ARTECO,T,,,,
OK,PRODUCTOS AVON,T,,,,
OL,AGROCENTRO,T,,,,
AT,EL AMATILLO,T,,,,
TM,TECUN UMAN I,T,,,,
ZT,Zona Franca Terminal,T,,,,
TG,Tecnoguat,T,,,,
ZD,ZONA FRANCA PUERTA PARADA,T,,,,
ZL,ZONA FRANCA INCOINSA,T,,,,
G1,G1,T,,,,
S1,ADUANA PERIFERICA,M,,,,
S2,ADUANA PERIFERICA,M,,,,
S3,Aduana Integrada La Ermita,T,,,,
S4,ADUANA PERIFERICA,T,,,,
G2,G2,T,,,,
G3,G3,T,,,,
G6,G6,T,,,,
G4,G4,T,,,,
G5,G5,T,,,,
G7,G7,T,,,,
G8,G8,T,,,,
ZS,ZONA FRANCA SADINSA,T,,,,
N1,ADUANA PERIFERICA CORINTO,M,,,,
N2,ADUANA PERIFERICA PEÑAS BLANCAS,T,,,,
ZB,ZONA FRANCA DEL ATLÁNTICO,T,,,,
OQ,J.I. COHEN,T,,,,
ER,DELEGACIÓN ADUANERA ENTRE RIOS,T,,,,
Q3,ALMACENADORA CENTROAMERICANA,T,,,,
Q6,Almacenadora Guatemalteca ( ALMAGUATE),T,,,,
R2,Almacenadora Integrada,T,,,,
R3,Almacenes Generales (ALGESA),T,,,,
R4,Almacenadora Corporativa ( ALCORSA),T,,,,
R8,Almacenadora Internacional (ALMINTER),T,,,,
X4,Almacenadora del País (ALPASA),T,,,,
X8,Almacenadora y Servicios (ALSERSA),T,,,,
T3,Almacenadora Tecun (ALMATECUN),T,,,,
T4,PRODUCTOS AVON DE GUATEMALA,T,,,,
T5,Almasilos Eureka,T,,,,
T6,Almasilos Escuintla,T,,,,
T7,Centroamericana de Almacenes (CENTRALSA),T,,,,
T8,ANEXO CENTROAMERICANA ALMACENES (CENTRALSA),T,,,,
T9,ANEXO 2 CENTROAMERICANA DE ALMACENES (CENTRALSA),T,,,,
U1,Central de Aviación,T,,,,
U2,CIA. BANANERA GUATEMALTECA INDEPENDIENTE,T,,,,
U3,Central Almacenadora (CEALSA),T,,,,
U5,Centro de Integración Familiar,T,,,,
U6,COLGATE PALMOLIVE (CENTRO AMERICA),T,,,,
H7,ADUANA INTEGRADA AGUA CALIENTE,T,,,,
Z3,ZONA FRANCA ESTRATEGICA INTERNACIONAL,T,,,,
SE,TIKAL,A,,,,
Y2,CROPA,T,,,,
Y3,ZETA GAS DE CENTROAMERICA,T,,,,
H8,ADUANA INTEGRADA EL FLORIDO,T,,,,
H1,ADUANA PERIFERICA PTO. CORTES,M,,,,
S7,Aduana Integrada la Ermita,T,,,,
H2,Delegacion de Aduanas La Mesa,T,,,,
H3,Delegacion de Aduanas La Fraternidad,T,,,,
H4,Delegacion de Aduanas El Amatillo,T,,,,
H5,Delegacion de Aduanas Guasaule,T,,,,
TO,INDUSTRIA DE HAMBURGUESAS SOCIEDAD ANONIMA,T,,,,
ZR,ZONA FRANCA BUENOS AIRES,T,,,,
Z2,ZONA FRANCA AMATITLAN,T,,,,
ZY,ZONA FRANCA PETAPA,T,,,,
CB,EL CEIBO,T,,,,
Z6,ZONA FRANCA OZOFRA,T,,,,
Z7,ZONA GLOBAL,T,,,,
Z8,PUMA ENERGY GUATEMALA,T,,,,
S5,Aduana Integrada Valle Nuevo,T,,,,
S6,Aduana Integrada San Cristobal,T,,,,
S8,Aduana Integrada Pedro de Alvarado,T,,,,
Z9,MIEL VERDE,T,,,,
E0,PUERTA DEL ISTMO,T,,,,
TR,DISAR,T,,,,
10,MINIMOTOS BLATA DE GUATEMALA,T,,,,
ZX,ZONA FRANCA CONSIGNA,T,,,,
Z4,ZONA FRANCA ZOFRASUR,T,,,,
R1,ALMACENADORA INTEGRADA 1 ( ALGESA),T,,,,
Y5,Almacenadora Corporativa ( ALCORSA 3),T,,,,
JR,DISAR,T,,,,
U7,Crédito Hipotecario Nacional (Almacén Fiscal),T,,,,
U8,CORMAR GUATEMALA,T,,,,
V1,COMPAÑIA COMERCIAL ROYER,T,,,,
V2,DISTRIBUIDORA ELECTRONICA,T,,,,
V3,DEPOSITO ADUANERO ALMAGUATE,T,,,,
V6,GRUPO CLC,T,,,,
V7,HUB LOGISTICS,T,,,,
V8,INVERSIONES Y PROYECTOS MONTERREY,T,,,,
V9,Logística de Servicios,T,,,,
W3,Almacenadora Pelicano,T,,,,
W4,Almacenadora Pelicano Anexo Cerro Brujo,T,,,,
W5,Almacenadora Pelicano Anexo Palin,T,,,,
W6,Sociedad Protectora del Niño (Puerto Libre),T,,,,
W7,Sociedad Protectora Niño Anx. Fl  Peten ,T,,,,
W9,Asociación Señoras Caridad San Vicente Paúl (PL),T,,,,
ZV,INVERSIONES NUEVO SIGLO,T,,,,
Z5,DHL ZONA FRANCA GUATEMALA,T,,,,
Y4,COMPAÑÍA RECONSTRUCTORA INDUSTRIAL,T,,,,
H6,ADUANA INTEGRADA CORINTO,T,,,,
